API_WELL_NUMBER,WELL_TYPE_CODE,WELL_NAME,COMPANY_NAME,BOREHOLE_STAT_DT,BH_TOTAL_MD
4.27054E+11,D, C008,"Arena Offshore, LP",5/7/03,10700
1.77154E+11,D, X002,"Arena Offshore, LP",6/15/03,16626
1.77154E+11,D,CA007,"Arena Offshore, LP",4/17/03,20058
1.7715E+11,D, S002,"Arena Offshore, LP",2/3/03,11905
1.77094E+11,D, J001,"Arena Offshore, LP",5/6/12,9630
1.77154E+11,D, A019,"Arena Offshore, LP",6/8/02,11831
1.77154E+11,D, A008,"Arena Offshore, LP",6/3/02,16703
1.77094E+11,D, C009,"Arena Offshore, LP",11/28/83,11060
1.77154E+11,D, S014,"Arena Offshore, LP",3/11/02,9530
1.77104E+11,D, C006,"Arena Offshore, LP",6/17/14,6640
1.77094E+11,D, A007,"Arena Offshore, LP",8/20/01,10256
1.77154E+11,D, B009,"Arena Offshore, LP",3/17/01,13345
1.77254E+11,D, A005,"Arena Offshore, LP",8/18/00,8552
1.77154E+11,D, P013,"Arena Offshore, LP",10/5/10,11030
1.77154E+11,D, I002,"Arena Offshore, LP",7/6/00,12775
1.77184E+11,D,AA004,"Arena Offshore, LP",2/2/04,7750
1.77154E+11,D, A003,"Arena Offshore, LP",10/2/14,8245
1.77154E+11,D, W003,"Arena Offshore, LP",9/11/99,14272
1.77154E+11,D, A011,"Arena Offshore, LP",8/9/99,10641
1.77154E+11,D, A002,"Arena Offshore, LP",8/24/99,13060
1.77104E+11,D, C001,"Arena Offshore, LP",8/10/13,9765
1.77094E+11,D, A001,"Arena Offshore, LP",6/9/99,13826
1.77154E+11,D, D018,"Arena Offshore, LP",1/17/11,13997
1.77174E+11,E, A004,"Arena Offshore, LP",5/31/16,4556
1.77094E+11,D,40,"Arena Offshore, LP",6/18/97,12300
1.77024E+11,D, A005,"Arena Offshore, LP",4/15/11,11820
1.77094E+11,D, C010,"Arena Offshore, LP",9/26/07,11450
1.77154E+11,D,7,"Arena Offshore, LP",10/11/14,11460
1.7715E+11,D, I001,"Arena Offshore, LP",8/9/97,12834
1.77154E+11,D, C013,"Arena Offshore, LP",1/18/04,12288
1.77152E+11,D, J002,"Arena Offshore, LP",1/23/01,7680
1.77254E+11,E,CA003,"Arena Offshore, LP",5/3/14,4008
1.77184E+11,E,6,"Arena Offshore, LP",12/14/92,16641
1.77104E+11,E,1,"Arena Offshore, LP",10/2/09,8482
1.77094E+11,D, A012,"Arena Offshore, LP",4/17/90,14713
1.77094E+11,D, A001,"Arena Offshore, LP",9/27/96,12679
1.77094E+11,D, G009,"Arena Offshore, LP",11/25/04,14168
1.7709E+11,D, C016,"Arena Offshore, LP",3/8/04,10100
1.7715E+11,D, B013,"Arena Offshore, LP",5/3/84,10282
1.77104E+11,E,10,"Arena Offshore, LP",8/10/76,5987
1.77094E+11,D, C007,"Arena Offshore, LP",4/3/11,13277
1.77184E+11,E, A007,"Arena Offshore, LP",5/20/13,14650
1.77154E+11,D, Q012,"Arena Offshore, LP",5/1/98,18180
1.77154E+11,D,22,"Arena Offshore, LP",12/23/97,8755
1.77224E+11,D, A001,"Arena Offshore, LP",4/17/09,9605
1.77224E+11,D, A004,"Arena Offshore, LP",1/27/07,8210
1.77094E+11,D, H015,"Arena Offshore, LP",12/13/97,13620
1.77154E+11,D,20,"Arena Offshore, LP",4/26/97,5150
1.77094E+11,D, I006,"Arena Offshore, LP",10/21/06,13478
1.77154E+11,D, B017,"Arena Offshore, LP",10/25/92,11448
1.77154E+11,D, S014,"Arena Offshore, LP",2/19/02,12433
4.27094E+11,D,JA001,"Arena Offshore, LP",7/12/07,10186
1.77154E+11,D, C011,"Arena Offshore, LP",12/20/03,11976
1.77154E+11,D, A004,"Arena Offshore, LP",10/26/92,10758
1.77094E+11,D, G007,"Arena Offshore, LP",5/23/15,12457
1.77094E+11,E, A004,"Arena Offshore, LP",7/26/14,14900
1.77154E+11,D, H001,"Arena Offshore, LP",8/28/96,16216
4.27084E+11,E, C001,Fieldwood Energy Offshore LLC,6/7/15,14241
1.77154E+11,D, A003,Fieldwood Energy Offshore LLC,11/9/00,14988
1.77214E+11,D, G019,Fieldwood Energy Offshore LLC,9/30/00,8495
1.77124E+11,D, D012,Fieldwood Energy Offshore LLC,2/28/13,12444
1.77054E+11,E, A001,Fieldwood Energy Offshore LLC,6/29/01,14798
4.27094E+11,D, A005,Fieldwood Energy Offshore LLC,10/6/00,13300
1.77014E+11,E,2,Fieldwood Energy Offshore LLC,11/5/15,12148
1.77214E+11,D, C040,Fieldwood Energy Offshore LLC,5/6/02,14597
1.77214E+11,D, A010,Fieldwood Energy Offshore LLC,1/15/12,13813
